012656;18
016653;18
020805;18
033144;64
035706;4
050495;18
052257;18
056740;18
058738;18
060488;14
060510;60
061468;10 17
062195;18
062313;18
062404;18
063738;34
064074;22
064331;18
064933;18
065221;18
065278;18
066148;18
066285;18
066613;18
066970;26
067211;18
067562;18
068956;18
068988;18
069029;18
069853;22
069904;18
069916;10 11 24
069962;18
069982;18
071059;8 9
073487;11
074116;13
074589;8 9
074815;18
074823;18
074880;18
074881;18
074885;18
074891;14
078145;22
078148;18
078161;18
078179;18
078187;18
078208;18
078210;18
078226;20
078274;18
078370;18
078382;18
110425;44